Address,Price,Beds,Baths,Space
"48 CORAL HARBOUR CRES, Markham, Ontario L3T2Z7","$1,349,000 CAD",4 BedsBds,2 BathsBa,
"105 WILLOWBROOK RD, Markham, Ontario L3T5L2","$1,799,800 CAD",6 BedsBds,4 BathsBa,
"1 Hua Du Ave, Markham, Ontario L6C 0T2","$1,199,900 CAD",4 BedsBds,5 BathsBa,
"144 BRIARWOOD RD, Markham, Ontario L3R2X5","$1,498,000 CAD",5 BedsBds,3 BathsBa,
"206 Main Street, Unionville, Markham, Ontario","$1,595,000 CAD",,,
"108 morgan Ave, Markham, Ontario","$2,388,000 CAD",5 BedsBds,4 BathsBa,"3,300 SqftSqft"
"No address available, Markham, Ontario","$1,490,990 CAD",,,
"Mccowan/16th Ave, Markham, Ontario","$1,159,900 CAD",,,
"2 Calderbridge Cres, Markham, Ontario L9R 9M8","$1,999,900 CAD",5 BedsBds,5 BathsBa,
"30 Bernbridge Rd, Markham, Ontario L6B0S3","$1,349,900 CAD",4 BedsBds,3 BathsBa,
"2830 Denison St, Markham, Ontario L3S4T5","$939,900 CAD",4 BedsBds,4 BathsBa,
"Birchmount Road, Markham, Ontario L6G1B3","$633,900 CAD",,,
"Markham - TORONTO // Executive Townhome For Sale ( Last Few Units Available), Markham, Ontario","$1,139,990 CAD",,,
"20 Fred Varley Drive, Markham, Ontario L3R1S4","$784,990 CAD",,,
"1 Verclaire Gate S, Markham, Ontario L3R1L3","$633,900 CAD",,,
"42 Cavalry Tr, Markham, Ontario L3R9H3","$1,699,900 CAD",4 BedsBds,4 BathsBa,
"No address available, Markham, Ontario","$800,000 CAD",,,
"Bur Oak Avenue, Markham, ON, Markham, Ontario","$818,800 CAD",,,
"57 Primrose Path Cres, Markham, Ontario","$1,099,000 CAD",4 BedsBds,4 BathsBa,
"778 Hammersly Blvd, Markham, Ontario L6E1N7","$988,000 CAD",4 BedsBds,3 BathsBa,
"Bayview Avenue & Royal Orchard Boulevard, Markham, Ontario L3T 4A3","$1,180,000 CAD",,,
"35 West Normandy Dr, Markham, Ontario L6B0A6","$1,098,000 CAD",3 BedsBds,3 BathsBa,"2,500 SqftSqft"
"No address available, Markham, Ontario","$1,155,000 CAD",,,
"No address available, Markham, Ontario","$549,900 CAD",,,
"7 Bern St, Markham, Ontario L6E1G7","$988,000 CAD",3 BedsBds,4 BathsBa,
"Cornell Rouge by Forest Hill Homes, Markham, Ontario L6B0K8","$1,200,000 CAD",3 BedsBds,3 BathsBa,
"Copper Creek Drive & Donald Cousens Parkway, Markham, Markham, Ontario","$939,990 CAD",,,
"No address available, Markham, Ontario","$1,199,990 CAD",,,
"Hwy 7 & South Park Rd, Markham, Ontario L3T 0B6","$748,800 CAD",,,
"Featherstone Ave, Markham, Ontario L3S3G4","$1,399,000 CAD",4 BedsBds,5 BathsBa,"3,000 SqftSqft"
"No address available, Markham, Ontario","$1,798,000 CAD",,,
"308-39 New Delhi Dr, Markham, ON L3S0E1, Markham, Ontario","$599,000 CAD",3 BedsBds,2 BathsBa,"1,055 SqftSqft"
"58 Adam Sellers St, Markham, Ontario L6B1M7","$558,888 CAD",1 BedBd,1 BathBa,
"Joy Station Condos, Markham, Ontario, Markham, Ontario L6E 0H8","$671,900 CAD",2 BedsBds,2 BathsBa,
"Donald Buttress Boulevard West, Markham, Ontario L6C0J8","$709,850 CAD",,,
"8 Cedarland Dr, Markham, Ontario","$490,000 CAD",,,
"83 Normandale Rd, Markham, Ontario L3R4J9","$2,280,000 CAD",5 BedsBds,5 BathsBa,
"15 Apollo Rd, Markham, Ontario L3S4G8","$883,000 CAD",3 BedsBds,4 BathsBa,
"30 Rachett Rd, Markham, Ontario L6E1W5","$899,900 CAD",3 BedsBds,3 BathsBa,
"Smart Towns in Markham Insider VIP Access, Markham, Ontario L6B 0S8","$900,000 CAD",3 BedsBds,3 BathsBa,"1,520 SqftSqft"
"Joy Station Condos, Markham, Ontario L6E0H8","$500,000 CAD",,,
"7089 Yonge Street, Markham, Ontario L3T2A7","$839,990 CAD",,,
"8 Cedarland Drive, Markham, Ontario L6G1E3","$490,000 CAD",,,
"7161 Yonge St, Markham, Ontario","$619,000 CAD",11 BedsBds,1 BathBa,
"100 Elson St, Markham, Ontario L3S 2E4","$1,598,000 CAD",4 BedsBds,5 BathsBa,
"No address available, Markham, Ontario","$469,900 CAD",,,
"363 William Forster Rd, Markham, Ontario L6B0R7","$1,199,900 CAD",6 BedsBds,4 BathsBa,
"9700 Ninth Line, Markham, Ontario L6B1A8","$478,900 CAD",,,
"Woodbine Avenue & 16th Avenue, Markham, ON, Markham, Ontario","$960,000 CAD",,,
"No address available, Markham, Ontario","$1,690,000 CAD",,,
"No address available, Markham, Ontario","$795,000 CAD",,,
"16 Cavalry Tr, Markham, Ontario L3R9G9","$1,288,000 CAD",4 BedsBds,3 BathsBa,
"No address available, Markham, Ontario L6B0S8","$789,000 CAD",,,
"Birchmount Road & Enterprise Boulevard, Markham, Ontario L6G1B3","$1,130,990 CAD",,,
"534 Country Glen Rd, Markham, Ontario L6B1H4","$1,088,888 CAD",3 BedsBds,3 BathsBa,
"Joy Station Condos Markham, Markham, Ontario L6E0H8","$500,000 CAD",1 BedBd,1 BathBa,
"McCowan/16th Avenue, Markham, Ontario L6C2L1","$1,299,900 CAD",,,
"38 Water Walk Dr, Markham, Ontario L3R 1L5","$688,800 CAD",1 BedBd,2 BathsBa,698 SqftSqft
"Middlefield Road & 14th Avenue, Markham, ON, Markham, Ontario","$1,300,990 CAD",,,
"No address available, Markham, Ontario","$870,000 CAD",,,
"2 Chimenti Crt, Markham, Ontario L3R9P9","$2,149,800 CAD",4 BedsBds,4 BathsBa,"2,500 SqftSqft"
"Angus Glen South Village, Markham, Ontario","$1,800,000 CAD",,,
"12 Clarion Cres, Markham, Ontario L3S3M8","$990,000 CAD",4 BedsBds,4 BathsBa,
"4 Featherstone Ave, Markham, Ontario L3S2E5","$999,000 CAD",4 BedsBds,4 BathsBa,
"Orchid Condos, Markham, Ontario","$500,000 CAD",1 BedBd,1 BathBa,
"64 Pillar Rock Cres, Markham, Ontario L6C3H4","$1,238,000 CAD",4 BedsBds,4 BathsBa,
"No address available, Markham, Ontario","$472,900 CAD",,,
"35 Stollery Pond Cres, Markham, Ontario L6C 0V1","$3,480,000 CAD",4 BedsBds,4 BathsBa,"4,358 SqftSqft"
"37 Robert Grundy Rd, Markham, Ontario L6C3A3","$1,499,000 CAD",4 BedsBds,5 BathsBa,
"4 Raleigh Cres, Markham, Ontario L3R4W5","$1,020,000 CAD",3 BedsBds,3 BathsBa,
"14th Avenue & Middlefield, Markham, Markham, Ontario L3R6E5","$1,400,990 CAD",,,
"2 Dunsheath Way, Markham, Ontario L6B0A3","$759,900 CAD",2 BedsBds,2 BathsBa,
"Unionglen, Markham, Ontario L6C1N9","$1,000,000 CAD",1 BedBd,1 BathBa,
"Highway 7, Markham, ON, Markham, Ontario","$1,379,900 CAD",,,
"8 Pringle Ave, Markham, Ontario","$1,099,900 CAD",3 BedsBds,3 BathsBa,
"4  Fredericton Road, Markham, Ontario L3P 3C2","$1,528,000 CAD",3 BedsBds,1 BathBa,
"37 Caldbeck Ave, Markham, Ontario L3S3H4","$1,499,000 CAD",4 BedsBds,4 BathsBa,
"No address available, Markham, Ontario L6G1B3","$470,000 CAD",,,
"102 Rainbow Valley Cres, Markham, Ontario L6E 1M1","$999,990 CAD",3 BedsBds,3 BathsBa,
"1700 Bur Oak Ave, Markham, Ontario L6E0H8","$500,000 CAD",,,
"19 Storybook Cres, Markham, Ontario L6E 2B7","$1,088,000 CAD",4 BedsBds,4 BathsBa,
"540 Bur Oak Ave, Markham, Ontario L6C0C4","$499,000 CAD",1 BedBd,2 BathsBa,649 SqftSqft
"No address available, Markham, Ontario","$979,900 CAD",,,
"70 Main St, Markham, Ontario L3R2E7","$1,990,000 CAD",4 BedsBds,3 BathsBa,
"92 Charles Brown Rd, Markham, Ontario L3S4V4","$1,159,000 CAD",5 BedsBds,4 BathsBa,
"42 Kindale Way 29, Markham, Ontario L3T4Z3","$729,000 CAD",3 BedsBds,2 BathsBa,
"7167 YONGE ST 1415, Markham, Ontario L3T0E1","$610,000 CAD",2 BedsBds,1 BathBa,
"1 WOOTTEN WAY S 2, Markham, Ontario L3P3H7","$599,900 CAD",3 BedsBds,3 BathsBa,
"39 Dickson Hill Rd, Markham, Ontario L3P3J3","$1,299,900 CAD",6 BedsBds,4 BathsBa,
"33 Clegg Rd 103D, Markham, Ontario L6G0B2","$1,080,000 CAD",4 BedsBds,3 BathsBa,
"28 UPTOWN DR 709, Markham, Ontario L3R9R1","$599,000 CAD",2 BedsBds,1 BathBa,
"96 TEA ROSE ST, Markham, Ontario L6C1X3","$3,200,000 CAD",5 BedsBds,4 BathsBa,
"52 Michener Cres, Markham, Ontario L3P6Z4","$998,000 CAD",3 BedsBds,3 BathsBa,
"2200 John St 316, Markham, Ontario L3T7S7","$499,999 CAD",2 BedsBds,2 BathsBa,
"292 Simonston Blvd 32, Markham, Ontario L3T4T5","$799,000 CAD",4 BedsBds,4 BathsBa,
"14 FANNY GROVE WAY, Markham, Ontario L6E0T7","$928,000 CAD",4 BedsBds,3 BathsBa,
"$117 Main St, Markham, Ontario","$1,680,000 CAD",4 BedsBds,4 BathsBa,
"51 SPRUCEWOOD DR, Markham, Ontario L3T2P8","$1,680,000 CAD",3 BedsBds,2 BathsBa,
"8 CALLAHAN RD, Markham, Ontario L3R1W7","$1,699,000 CAD",3 BedsBds,2 BathsBa,
"292 SIMONSTON BLVD, Markham, Ontario L3T4T5","$799,000 CAD",4 BedsBds,4 BathsBa,
"48 BEEHIVE LANE, Markham, Ontario L6E0K6","$899,000 CAD",3 BedsBds,3 BathsBa,
"$42 Johnson St, Markham, Ontario","$1,999,888 CAD",4 BedsBds,4 BathsBa,
"53 Glenbourne Park Dr, Markham, Ontario L6C1H5","$2,999,000 CAD",4 BedsBds,3 BathsBa,
"117 ROBINSON ST, Markham, Ontario L3P1P2","$1,488,000 CAD",4 BedsBds,3 BathsBa,
"100 ELSON ST, Markham, Ontario L3S2E4","$1,598,000 CAD",6 BedsBds,5 BathsBa,
"31 BRIARHALL CRES, Markham, Ontario L6C2C9","$1,780,000 CAD",7 BedsBds,4 BathsBa,
"664 FRED MCLAREN BLVD, Markham, Ontario L6E1J3","$1,080,000 CAD",3 BedsBds,3 BathsBa,
"1 ROYAL ORCHARD BLVD 1403, Markham, Ontario L3T3C1","$548,900 CAD",3 BedsBds,2 BathsBa,
"55 FONTHILL Boulevard, Markham, Ontario L3R 1V5","$2,380,000 CAD",4 BedsBds,3 BathsBa,"1,351 SqftSqft"
"22 WILLOW ST, Markham, Ontario L6E0G3","$1,399,000 CAD",4 BedsBds,4 BathsBa,
"25 CHRISTMAN CRT, Markham, Ontario L3P3C7","$1,998,000 CAD",5 BedsBds,4 BathsBa,
"16 TOMLINSON CIRC, Markham, Ontario L3R9L1","$1,380,000 CAD",4 BedsBds,4 BathsBa,
"61 Harry Blaylock Dr, Markham, Ontario L6E2H1","$989,000 CAD",3 BedsBds,3 BathsBa,
"34 SILVERADO HILLS DR, Markham, Ontario L6C0H1","$999,000 CAD",4 BedsBds,3 BathsBa,
"81 CODLIN ST, Markham, Ontario L3S3S5","$1,498,000 CAD",6 BedsBds,6 BathsBa,
"7825 Bayview Ave 1115, Markham, Ontario L3T7N2","$739,000 CAD",3 BedsBds,2 BathsBa,
"69 BRIARCREST DR, Markham, Ontario L6C3E7","$978,000 CAD",3 BedsBds,3 BathsBa,
"273 SOUTH PARK Road Unit 112, Markham, Ontario L3T0B5","$724,888 CAD",2 BedsBds,2 BathsBa,
"112 Gable Ave, Markham, Ontario L6C2W3","$1,288,000 CAD",4 BedsBds,4 BathsBa,
"25 TIMES AVE 816, Markham, Ontario L3T7X5","$474,900 CAD",1 BedBd,1 BathBa,
"10 SCOTT BROWN ST, Markham, Ontario L6E1V9","$1,099,000 CAD",6 BedsBds,4 BathsBa,
"14 BEMBRIDGE DR, Markham, Ontario L6C0J8","$1,739,900 CAD",3 BedsBds,3 BathsBa,
"325 SOUTH PARK RD 611, Markham, Ontario L3T0B8","$579,500 CAD",2 BedsBds,1 BathBa,
"56 Meadowview Ave, Markham, Ontario L3T1K7","$2,769,000 CAD",7 BedsBds,7 BathsBa,
"38 Proctor Ave, Markham, Ontario L3T1M5","$1,988,800 CAD",5 BedsBds,3 BathsBa,
"253 South Park Rd N 1005, Markham, Ontario L3T0B4","$699,000 CAD",2 BedsBds,2 BathsBa,
"14 WINDSONG CRT, Markham, Ontario L3R8N6","$2,339,000 CAD",6 BedsBds,6 BathsBa,
"7363 Kennedy Rd 719, Markham, Ontario L3R1G8","$499,000 CAD",3 BedsBds,2 BathsBa,
"46 BURNDENFORD CRESCENT CRES, Markham, Ontario L3P7Z2","$1,799,000 CAD",4 BedsBds,5 BathsBa,
"80 TRAIL RIDGE LANE, Markham, Ontario L6C2C1","$1,499,900 CAD",5 BedsBds,4 BathsBa,
"138 RIVERWALK DR, Markham, Ontario L6B0E2","$1,298,999 CAD",5 BedsBds,4 BathsBa,
"55 FAIRTY DR, Markham, Ontario L3S3A9","$1,399,000 CAD",5 BedsBds,4 BathsBa,
"25 FORESTBROOK DR, Markham, Ontario L6B0E4","$1,289,900 CAD",4 BedsBds,3 BathsBa,
"108 Kirk Dr, Markham, Ontario L3T3L2","$1,388,800 CAD",4 BedsBds,3 BathsBa,
"56 GREENCROFT CRES, Markham, Ontario L3R3Y5","$1,399,000 CAD",4 BedsBds,4 BathsBa,
"65 PILLAR ROCK CRES, Markham, Ontario L6C3H4","$969,900 CAD",3 BedsBds,4 BathsBa,
"35 Chambery Cres, Markham, Ontario L3R6L6","$2,088,000 CAD",4 BedsBds,4 BathsBa,
"10 Senator Reesors Dr, Markham, Ontario L3P3E2","$1,208,000 CAD",4 BedsBds,3 BathsBa,
"30 CLEGG RD Lph01, Markham, Ontario L6G0B4","$829,000 CAD",4 BedsBds,2 BathsBa,
"$296 Main Markham St N, Markham, Ontario","$1,388,000 CAD",2 BedsBds,2 BathsBa,
"41 Wild Cherry Lane, Markham, Ontario L3T3T3","$1,558,000 CAD",5 BedsBds,4 BathsBa,
"13 Houser St, Markham, Ontario L6E1H8","$1,469,000 CAD",5 BedsBds,5 BathsBa,
"$46 Dundee Cres, Markham, Ontario","$1,650,000 CAD",4 BedsBds,4 BathsBa,
"43 ROSEMEAD  CLSE, Markham, Ontario L3R3Z4","$1,888,000 CAD",4 BedsBds,5 BathsBa,
"$2812 Donald Cousens Pkwy, Markham, Ontario","$1,595,000 CAD",5 BedsBds,4 BathsBa,
"2674 BUR OAK AVE, Markham, Ontario L6B1J1","$860,000 CAD",2 BedsBds,3 BathsBa,
"12 Sherwood Forest Dr, Markham, Ontario","$1,188,000 CAD",3 BedsBds,4 BathsBa,
"7428 MARKHAM RD 101, Markham, Ontario L3S4V6","$549,999 CAD",2 BedsBds,2 BathsBa,
"55 ORCHID RD, Markham, Ontario L3T7V2","$988,800 CAD",4 BedsBds,3 BathsBa,
"148 ROY GROVE WAY, Markham, Ontario L6E0T7","$838,880 CAD",4 BedsBds,3 BathsBa,
"52 NELSON ST, Markham, Ontario L3P3K1","$1,150,000 CAD",,,
"80 Macadam Rd, Markham, Ontario","$1,719,000 CAD",4 BedsBds,4 BathsBa,"2,000 SqftSqft"
"$16 Winterberry Dr, Markham, Ontario","$1,700,000 CAD",3 BedsBds,3 BathsBa,
"89 South Town Centre Blvd, Markham, Ontario","$598,000 CAD",1 BedBd,2 BathsBa,700 SqftSqft
"9704 Mccowan Rd, Markham, Ontario","$828,800 CAD",2 BedsBds,2 BathsBa,800 SqftSqft
"15 Water Walk Dr, Markham, Ontario","$699,888 CAD",1 BedBd,1 BathBa,600 SqftSqft
"$61 Prince Charles Way L6C0B4, Markham, Ontario","$699,000 CAD",2 BedsBds,2 BathsBa,
"58 Cachet Pkwy, Markham, Ontario L6C1C2","$9,690,000 CAD",7 BedsBds,9 BathsBa,
"9704 Mccowan Rd, Markham, Ontario","$796,800 CAD",2 BedsBds,2 BathsBa,800 SqftSqft
"15 DONCREST DR, Markham, Ontario L3T2T1","$6,999,000 CAD",6 BedsBds,8 BathsBa,
"14 Oakcrest Ave, Markham, Ontario L3R 2C1","$4,290,000 CAD",4 BedsBds,4 BathsBa,
"44 Ingram Rd, Markham, Ontario","$819,000 CAD",3 BedsBds,3 BathsBa,
"308 John S St 108, Markham, Ontario L3T0A7","$499,000 CAD",1 BedBd,1 BathBa,
"56 Sabiston Dr, Markham, Ontario L3R2B5","$2,099,000 CAD",4 BedsBds,4 BathsBa,
"10 Westmeath Lane, Markham, Ontario","$688,888 CAD",2 BedsBds,2 BathsBa,"1,000 SqftSqft"
"$27 Redwood Lane, Markham, Ontario","$1,499,000 CAD",3 BedsBds,4 BathsBa,
"4031 16TH AVE, Markham, Ontario L3R0K5","$4,743,780 CAD",5 BedsBds,6 BathsBa,
"160 Chancery Rd E, Markham, Ontario","$565,900 CAD",2 BedsBds,1 BathBa,700 SqftSqft
"38 TOMLINSON CIRC, Markham, Ontario L3R9J8","$1,630,000 CAD",6 BedsBds,4 BathsBa,
"9 Hyacinth St, Markham, Ontario","$999,000 CAD",4 BedsBds,3 BathsBa,"2,000 SqftSqft"
"86 STEELES AVE E, Markham, Ontario L3T1A3","$1,399,000 CAD",5 BedsBds,3 BathsBa,
"91 Woodward Ave, Markham, Ontario L3T1E8","$1,749,900 CAD",5 BedsBds,3 BathsBa,
"11 ELIZABETH ST, Markham, Ontario L3P2B3","$969,000 CAD",4 BedsBds,2 BathsBa,
"277 South Park Rd 102, Markham, Ontario L3T0B7","$589,900 CAD",2 BedsBds,1 BathBa,
"8 TREELINE CRT, Markham, Ontario L3S3T8","$1,799,900 CAD",4 BedsBds,4 BathsBa,
"30 Mcclary's Way, Markham, Ontario","$1,180,000 CAD",4 BedsBds,5 BathsBa,
"5162 16TH AVE, Markham, Ontario L6C2H1","$2,050,000 CAD",5 BedsBds,6 BathsBa,
"34 Angus Glen Blvd, Markham, Ontario","$1,675,000 CAD",4 BedsBds,4 BathsBa,"3,000 SqftSqft"
"3 COBBLESTONE DR, Markham, Ontario L3T4E3","$1,928,000 CAD",6 BedsBds,4 BathsBa,
"45 Wild Oak Lane, Markham, Ontario L6B1H6","$958,000 CAD",5 BedsBds,4 BathsBa,
"8130 Birchmount Rd, Markham, Ontario","$579,000 CAD",1 BedBd,2 BathsBa,700 SqftSqft
"10 Glenbourne Park Dr, Markham, Ontario L6C1H7","$6,888,000 CAD",6 BedsBds,8 BathsBa,
"55 Lindcrest Manr, Markham, Ontario","$749,000 CAD",3 BedsBds,3 BathsBa,"1,600 SqftSqft"
"128 HILLWOOD ST, Markham, Ontario L6C0B8","$829,000 CAD",3 BedsBds,3 BathsBa,
"268 BUCHANAN DR 311W, Markham, Ontario L3R8G9","$829,900 CAD",3 BedsBds,2 BathsBa,
"154 MAJOR BUTTONS DR, Markham, Ontario L3P3X6","$1,400,000 CAD",4 BedsBds,4 BathsBa,
"342 Mingay Ave, Markham, Ontario","$988,000 CAD",3 BedsBds,4 BathsBa,"1,500 SqftSqft"
"$11 Clendenen Crt, Markham, Ontario","$1,588,000 CAD",4 BedsBds,4 BathsBa,
"20 Abercorn Rd, Markham, Ontario","$1,290,000 CAD",3 BedsBds,2 BathsBa,
"47 Thatchers Mill Way, Markham, Ontario","$699,999 CAD",3 BedsBds,2 BathsBa,"1,200 SqftSqft"
"$23 Michener Cres, Markham, Ontario","$998,000 CAD",3 BedsBds,3 BathsBa,
"55 Feeney Lane, Markham, Ontario","$1,248,000 CAD",2 BedsBds,4 BathsBa,"1,500 SqftSqft"
"$225 Fred Mclaren Blvd, Markham, Ontario","$999,000 CAD",4 BedsBds,3 BathsBa,
"691 DENISON ST, Markham, Ontario L3R1B8",$1 CAD,,,
"$541 White's Hill Ave, Markham, Ontario","$1,299,990 CAD",4 BedsBds,4 BathsBa,
"$85 Romfield Crct, Markham, Ontario","$1,849,000 CAD",4 BedsBds,4 BathsBa,
"9506 MARKHAM RD 317, Markham, Ontario L6E0S5","$648,000 CAD",2 BedsBds,2 BathsBa,
"14 LIBRARY LANE, Markham, Ontario L3R5T6","$1,980,000 CAD",5 BedsBds,4 BathsBa,
"534 COUNTRY GLEN RD, Markham, Ontario L6B1H4","$999,800 CAD",3 BedsBds,3 BathsBa,
"36 The Barley Lea St, Markham, Ontario","$828,800 CAD",3 BedsBds,4 BathsBa,
"$231 Fred Mclaren Blvd, Markham, Ontario","$998,880 CAD",4 BedsBds,3 BathsBa,
"9 Stollery Pond Cres 615, Markham, Ontario L6C 0Y1","$999,000 CAD",2 BedsBds,2 BathsBa,
"2 Gainsville Ave, Markham, Ontario L3R1W6","$2,780,000 CAD",4 BedsBds,4 BathsBa,
"180 ENTERPRISE BLVD 408, Markham, Ontario L6G0G4","$599,000 CAD",1 BedBd,1 BathBa,
"48 Ellingwood Crt, Markham, Ontario","$1,688,888 CAD",4 BedsBds,4 BathsBa,
"8 FAIRFIELD PL, Markham, Ontario L3T7M7","$6,998,888 CAD",7 BedsBds,8 BathsBa,
"26 Mckennon St, Markham, Ontario L6E 1H5","$1,725,800 CAD",6 BedsBds,5 BathsBa,
"743 CABOTO TR, Markham, Ontario L3R5W4","$1,146,000 CAD",5 BedsBds,4 BathsBa,
"36 Bernadotte Dr, Markham, Ontario L6C3H1","$3,788,000 CAD",4 BedsBds,4 BathsBa,
"$60 Donald Buttress Blvd W, Markham, Ontario","$1,088,000 CAD",3 BedsBds,4 BathsBa,
"14 Berkeley Crt, Markham, Ontario","$1,299,000 CAD",4 BedsBds,4 BathsBa,
"20 COUNT CRYSTAN AVE, Markham, Ontario L6C0K3","$2,388,000 CAD",5 BedsBds,4 BathsBa,
"378 CORNELL ROUGE BLVD, Markham, Ontario L6B0T8","$899,888 CAD",4 BedsBds,3 BathsBa,
"17 Alanadale Ave, Markham, Ontario L3P 1S4","$988,000 CAD",5 BedsBds,2 BathsBa,
"5077 14TH AVE E, Markham, Ontario L3S3Y4","$1,299,000 CAD",,,
"37 Roman Rd, Markham, Ontario","$1,500,000 CAD",5 BedsBds,4 BathsBa,"2,500 SqftSqft"
"34 Honeybourne Cres, Markham, Ontario","$1,685,000 CAD",3 BedsBds,2 BathsBa,
